frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.02,210.0,4.2,26385.50358082622,0.49603174603174605,0.08000000000000007,True,False,False
1.0,0.02,215.0,4.3,6618.92676745458,0.48449612403100784,0.3200000000000003,True,False,False
1.0,0.02,220.0,4.4,3795.1300798300604,0.47348484848484845,0.5600000000000005,True,False,False
1.0,0.02,225.0,4.5,2665.611404780252,0.462962962962963,0.8000000000000007,True,False,False
1.0,0.02,230.0,4.6,2057.4090412918977,0.45289855072463764,1.0399999999999987,True,False,False
1.0,0.02,235.0,4.7,1677.2825641116724,0.44326241134751776,1.279999999999999,True,False,False
1.0,0.02,240.0,4.8,1417.196027093624,0.4340277777777778,1.5199999999999991,True,False,False
1.0,0.02,245.0,4.9,1228.0421819895887,0.4251700680272109,1.7599999999999993,True,False,False
1.0,0.02,250.0,5.0,1084.2852597105216,0.41666666666666663,1.9999999999999996,True,False,False
1.0,0.02,255.0,5.1,971.3333922055403,0.4084967320261437,2.24,True,False,False
1.0,0.02,260.0,5.2,880.243176475717,0.40064102564102555,2.48,True,False,False
1.0,0.02,265.0,5.3,805.2277046982156,0.3930817610062893,2.72,True,False,False
1.0,0.02,270.0,5.4,742.3769040197683,0.3858024691358024,2.9600000000000004,True,False,False
1.0,0.02,275.0,5.5,688.9537234430879,0.3787878787878788,3.2000000000000006,True,False,False
1.0,0.02,280.0,5.6,642.984940156177,0.3720238095238094,3.440000000000001,True,False,False
1.0,0.02,285.0,5.7,603.0120851240812,0.36549707602339176,3.6799999999999984,True,False,False
1.0,0.02,290.0,5.8,567.9338654020373,0.35919540229885055,3.919999999999999,True,False,False
1.0,0.02,295.0,5.9,536.9031325709985,0.3531073446327683,4.159999999999999,True,False,False
1.0,0.02,300.0,6.0,509.25757059425496,0.3472222222222222,4.3999999999999995,True,False,False
1.0,0.03,10.0,0.3,nan,6.944444444444445,-9.28,False,False,False
1.0,0.03,15.0,0.45,nan,4.629629629629631,-8.92,False,False,False
1.0,0.03,20.0,0.6,nan,3.4722222222222223,-8.56,False,False,False
1.0,0.03,25.0,0.75,nan,2.7777777777777777,-8.200000000000001,False,False,False
1.0,0.03,30.0,0.9,nan,2.3148148148148153,-7.84,False,False,False
1.0,0.03,35.0,1.05,nan,1.9841269841269842,-7.48,False,False,False
1.0,0.03,40.0,1.2,nan,1.7361111111111112,-7.12,False,False,False
1.0,0.03,45.0,1.35,nan,1.5432098765432098,-6.76,False,False,False
1.0,0.03,50.0,1.5,nan,1.3888888888888888,-6.4,False,False,False
1.0,0.03,55.0,1.65,nan,1.2626262626262628,-6.040000000000001,False,False,False
1.0,0.03,60.0,1.8,nan,1.1574074074074077,-5.680000000000001,False,False,False
1.0,0.03,65.0,1.95,nan,1.0683760683760684,-5.32,False,False,False
1.0,0.03,70.0,2.1,nan,0.9920634920634921,-4.96,False,False,False
1.0,0.03,75.0,2.25,nan,0.925925925925926,-4.6,False,False,False
1.0,0.03,80.0,2.4,nan,0.8680555555555556,-4.24,False,False,False
1.0,0.03,85.0,2.55,nan,0.8169934640522876,-3.88,False,False,False
1.0,0.03,90.0,2.7,nan,0.7716049382716049,-3.520000000000001,False,False,False
1.0,0.03,95.0,2.85,nan,0.7309941520467835,-3.1600000000000006,False,False,False
1.0,0.03,100.0,3.0,nan,0.6944444444444444,-2.8000000000000003,False,False,False
1.0,0.03,105.0,3.15,nan,0.6613756613756614,-2.44,False,False,False
1.0,0.03,110.0,3.3,nan,0.6313131313131314,-2.0800000000000005,False,False,False
1.0,0.03,115.0,3.45,nan,0.6038647342995169,-1.7200000000000004,False,False,False
1.0,0.03,120.0,3.6,nan,0.5787037037037038,-1.3600000000000012,False,False,False
1.0,0.03,125.0,3.75,nan,0.5555555555555556,-1.0000000000000009,False,False,False
1.0,0.03,130.0,3.9,nan,0.5341880341880342,-0.6400000000000006,False,False,False
1.0,0.03,135.0,4.05,nan,0.51440329218107,-0.28000000000000025,False,False,False
1.0,0.03,140.0,4.2,26385.50358082622,0.49603174603174605,0.08000000000000007,True,False,False
1.0,0.03,145.0,4.35,4821.9652389662715,0.4789272030651341,0.43999999999999817,True,False,False
